"rank","LGA","cattle_at_risk","cumulative_percent","priority_tier"
1,"Alkaleri",45391,1.93979378553165,"Tier 1 (Top 10%)"
2,"Nasarawa",42903,3.77326237579546,"Tier 1 (Top 10%)"
3,"Abadam",42372,5.58403857108852,"Tier 1 (Top 10%)"
4,"Wase",42327,7.39289168206203,"Tier 1 (Top 10%)"
5,"Kanam",38166,9.02392359628734,"Tier 1 (Top 10%)"
6,"Bauchi",35590,10.5448696170199,"Tier 1 (Top 10%)"
7,"Shiroro",35440,12.0594053566873,"Tier 1 (Top 10%)"
8,"Karim Lamido",35305,13.568171843396,"Tier 1 (Top 10%)"
9,"Kachia",30255,14.8611255342435,"Tier 1 (Top 10%)"
10,"Mashegu",29502,16.1218996141438,"Tier 1 (Top 10%)"
11,"Toro",27794,17.3096819603152,"Tier 1 (Top 10%)"
12,"Maru",26434,18.439344424829,"Tier 1 (Top 10%)"
13,"Chikun",26322,19.5642205461474,"Tier 1 (Top 10%)"
14,"Birnin Gwari",26138,20.6812333893592,"Tier 1 (Top 10%)"
15,"Tafawa-Balewa",25550,21.7731179307955,"Tier 1 (Top 10%)"
16,"Mariga",24841,22.834703210397,"Tier 1 (Top 10%)"
17,"Bassa",24638,23.8876132429569,"Tier 1 (Top 10%)"
18,"Lavun",24487,24.9340702592446,"Tier 1 (Top 10%)"
19,"Lafia",24354,25.9748434929878,"Tier 1 (Top 10%)"
20,"Mangu",24057,27.0029243702219,"Tier 1 (Top 10%)"
21,"Gassol",23463,28.005620534438,"Tier 1 (Top 10%)"
22,"Borgu",23204,28.9972482800148,"Tier 1 (Top 10%)"
23,"Bokkos",22987,29.9796024856506,"Tier 1 (Top 10%)"
24,"Mokwa",22399,30.9368283895109,"Tier 1 (Top 10%)"
25,"Song",22324,31.8908491528386,"Tier 1 (Top 10%)"
26,"Mobbar",21383,32.8046560862841,"Tier 1 (Top 10%)"
27,"Kirfi",20599,33.6849586173622,"Tier 1 (Top 10%)"
28,"Baruten",20492,34.5606884812805,"Tier 1 (Top 10%)"
29,"Qua'an Pan",20481,35.4359482579206,"Tier 1 (Top 10%)"
30,"Kanke",20479,36.3111225641466,"Tier 1 (Top 10%)"
31,"Lapai",20403,37.1830489946329,"Tier 1 (Top 10%)"
32,"Wukari",19934,38.0349326129887,"Tier 1 (Top 10%)"
33,"Rafi",19267,38.858311848208,"Tier 1 (Top 10%)"
34,"Akko",18771,39.660494420705,"Tier 1 (Top 10%)"
35,"Lokoja",18695,40.4594291174624,"Tier 1 (Top 10%)"
36,"Jema'a",18272,41.240286821616,"Tier 1 (Top 10%)"
37,"Kaiama",18199,42.0180248556512,"Tier 1 (Top 10%)"
38,"Shendam",17988,42.786745760988,"Tier 1 (Top 10%)"
39,"Abuja",17297,43.5259366382178,"Tier 1 (Top 10%)"
40,"Toto",17130,44.2579907358618,"Tier 1 (Top 10%)"
41,"Doma",16936,44.9817542033281,"Tier 1 (Top 10%)"
42,"Karu",16883,45.7032527048181,"Tier 1 (Top 10%)"
43,"Bagudo",16685,46.416289635302,"Tier 1 (Top 10%)"
44,"Fufore",16584,47.1250103098687,"Tier 1 (Top 10%)"
45,"Guzamala",16567,47.8330044859147,"Tier 1 (Top 10%)"
46,"Pategi",16104,48.5212122610728,"Tier 1 (Top 10%)"
47,"Pankshin",15417,49.1800609489524,"Tier 1 (Top 10%)"
48,"Awe",15392,49.8378412566544,"Tier 1 (Top 10%)"
49,"Ifelodun",15381,50.4951514770783,"Tier 1 (Top 10%)"
50,"Kagarko",15281,51.1481881767921,"Tier 1 (Top 10%)"
51,"Agaie",14753,51.7786606871565,"Tier 1 (Top 10%)"
52,"Ibi",14550,52.4004579504793,"Tier 1 (Top 10%)"
53,"Sanga",14453,53.0181098987133,"Tier 1 (Top 10%)"
54,"Zangon Kataf",14308,53.6295652419176,"Tier 1 (Top 10%)"
55,"Edu",14143,54.2339692759502,"Tier 1 (Top 10%)"
56,"Marte",14025,54.8333305555449,"Tier 1 (Top 10%)"
57,"Girie",14002,55.4317089253762,"Tier 1 (Top 10%)"
58,"Kokona",13928,56.0269248898821,"Tier 2 (Top 20%)"
59,"Katcha",13901,56.6209870037962,"Tier 2 (Top 20%)"
60,"Paikoro",13705,57.2066730171184,"Tier 2 (Top 20%)"
61,"Gbako",13484,57.7829145496713,"Tier 2 (Top 20%)"
62,"Kuje",12823,58.3309081103303,"Tier 2 (Top 20%)"
63,"Kwali",12726,58.8747563559005,"Tier 2 (Top 20%)"
64,"Bali",12714,59.4180917789855,"Tier 2 (Top 20%)"
65,"Moro",12568,59.9551878618337,"Tier 2 (Top 20%)"
66,"Magama",12454,60.4874121310723,"Tier 2 (Top 20%)"
67,"Danko Wasagu",12040,61.001944024571,"Tier 2 (Top 20%)"
